FR;EN;group;stage;type
De quoi sont-ils faits?;What were them made of?;;1.0;mot regulier
une astuce;a tip / trick;;1.0;mot regulier
une lèvre;lip;;1.0;mot regulier
une pensée;pansy;;1.0;mot regulier
le pingouin;the penguin;;1.0;mot regulier
apprivoiser;to tame;;1.0;mot regulier
le forfait;the flat rate;;1.0;mot regulier
les pantoufles;slippers;;1.0;mot regulier
un épluche-légumes;a vegetable peeler;;1.0;mot regulier
reprocher;to reproach. to blame;;1.0;mot regulier
Il y en a qui veulent changer le monde.;Some want to change the world.;;1.0;mot regulier
encaisser;to cash in;;1.0;mot regulier
l'algèbre;algebra;;1.0;mot regulier
fin;thin, fine;;1.0;mot regulier
le panier de midi;the lunch box;;1.0;mot regulier
distrait;forgetful;;1.0;mot regulier
italienne;Italian (fem);;1.0;mot regulier
embellir;beautify;;1.0;mot regulier
la conservation;preservation;;1.0;mot regulier
le bac;the ferry;;1.0;mot regulier
un appel vidéo;a video call;;1.0;mot regulier
un manuscrit;a manuscript;;1.0;mot regulier
faire la cour à [quelqu'un];to woo [someone];;1.0;mot regulier
la cuillerée;the spoonful;;1.0;mot regulier
par la suite;afterwards;;1.0;mot regulier
la déviation;the diversion;;1.0;mot regulier
classique;classical;;1.0;mot regulier
se fâcher;to get angry;;1.0;mot regulier
avoir le/un coup de foudre;to fall in love at first sight;;1.0;mot regulier
une ménorah de Hanoucca;a Hanukkah menorah;;1.0;mot regulier
se fouler la cheville, le poignet;to sprain one's ankle, one's wrist;;1.0;mot regulier
tempéré;temperate;;1.0;mot regulier
le lieu de réception;the reception venue;;1.0;mot regulier
Se servir de [quelqu'un/quelque chose];To use [someone/something];;1.0;mot regulier
la brouette;the wheelbarrow;;1.0;mot regulier
un chevalier;a knight;;1.0;mot regulier
pittoresque;picturesque;;1.0;mot regulier
Vous avez franchi la ligne.;You have crossed the line.;;1.0;mot regulier
le vignoble;the vineyard;;1.0;mot regulier
verrouiller;to lock;;1.0;mot regulier
C'est vous ?;Is that you? (pl.);;1.0;mot regulier
cambrioler;to rob;;1.0;mot regulier
rimer;to rhyme;;1.0;mot regulier
mourant;dying;;1.0;mot regulier
Qu'est-ce que je dois laisser comme pourboire ?;How much of a tip should I give him?;;1.0;mot regulier
C'est super que vous soyez là ! Comment ça va aujourd'hui ?;Great that you're here! How is it going today?;;1.0;mot regulier
le pas;the step;;1.0;mot regulier
houleux;rough;;1.0;mot regulier
la routarde;the backpacker (fem.);;1.0;mot regulier
un écureuil;a squirrel;;1.0;mot regulier
Et tu crois tout ce qu'il raconte ? Tu n'es pas un peu naïve ? (naïf);And you believe everything that he tells you? Aren't you just a bit naive (fem.)?;;1.0;mot regulier
la croûte;crust;;1.0;mot regulier
la charade;the charades;;1.0;mot regulier
la compassion;the sympathy;;1.0;mot regulier
L'Afrique du Sud a trois adversaires forts dans la phase de groupes.;South Africa has three strong opponents in the group stage.;;1.0;mot regulier
un navire;a ship;;1.0;mot regulier
la caisse de transport;the pet crate;;1.0;mot regulier
enlèvement;abduction;;1.0;mot regulier
destructeur;destructive;;1.0;mot regulier
l'expression;the idiom;;1.0;mot regulier
défiler;to march;;1.0;mot regulier
la grammaire;the grammar;;1.0;mot regulier
une électrice;a voter (f);;1.0;mot regulier
couper;to cut;;1.0;mot regulier
l'eau gazeuse;sparkling water;;1.0;mot regulier
vieillard;old man;;1.0;mot regulier
la prairie;the meadow;;1.0;mot regulier
Nous avons un compte épargne à la caisse d'épargne.;We have a savings account at the savings bank.;;1.0;mot regulier
tour (partie du corps);lap ;;1.0;mot regulier
un poète;a poet (m);;1.0;mot regulier
la tour;the tower block;;1.0;mot regulier
fouiller;to browse;;1.0;mot regulier
un encreur;an inker (m);;1.0;mot regulier
la libellule;the dragonfly;;1.0;mot regulier
la conseillère client;the account manager (fem.);;1.0;mot regulier
la barque;the rowing boat;;1.0;mot regulier
un farfadet;a leprechaun;;1.0;mot regulier
une page de pub;commercial break/ad break;;1.0;mot regulier
un éboueur;a garbage man;;1.0;mot regulier
ensoleillé;sunny (m);;1.0;mot regulier
la vinaigrette;salad dressing;;1.0;mot regulier
la crèche;the day-care centre;;1.0;mot regulier
la fausse fourrure;fake fur;;1.0;mot regulier
affranchir une lettre;to put a stamp on a letter;;1.0;mot regulier
ces derniers temps;lately;;1.0;mot regulier
une colline;a hill;;1.0;mot regulier
la calvitie;the bald head;;1.0;mot regulier
un autoradio;car radio;;1.0;mot regulier
prendre son mal en patience;to grin and bear it;;1.0;mot regulier
le bibelot;the knick-knack;;1.0;mot regulier
la conviction;the belief;;1.0;mot regulier
démanger;to itch;;1.0;mot regulier
Plus rien ne nous retient d'emménager ensemble.;Nothing else is preventing us from moving in together.;;1.0;mot regulier
une tombe;a grave / a tomb;;1.0;mot regulier
un handicap moteur;a mobility disability;;1.0;mot regulier
visqueux;slimy;;1.0;mot regulier
Je passe te prendre vers huit heures.;I'll pick you up around eight o'clock.;;1.0;mot regulier
la spatule;spatula;;1.0;mot regulier
la céréale;the cereal;;1.0;mot regulier
La chasse d'eau ne fonctionne pas.;The flush doesn't work.;;1.0;mot regulier
la bêche;the spade;;1.0;mot regulier
renseigner;to inform;;1.0;mot regulier
La banque a encaissé le chèque comptant.;The bank cashed the cheque.;;1.0;mot regulier
le binôme;the pair;;1.0;mot regulier
la balle au prisonnier;dodgeball;;1.0;mot regulier
Je ne suis pas satisfaite de cette coupe de cheveux.;I am not happy with this hairstyle.;;1.0;mot regulier
l'aquarelle;the watercolour;;1.0;mot regulier
reporter une réunion;postpone a meeting;;1.0;mot regulier
la broche;the brooch;;1.0;mot regulier
le subordonné;the subordinate (masc.);;1.0;mot regulier
un flash spécial;breaking news;;1.0;mot regulier
Le match avait commencé depuis une heure, quand un spectateur a couru nu sur le gazon.;It was an hour into the match (lit. The match started an hour earlier), when a spectator ran naked across the pitch.;;1.0;mot regulier
un épouvantail;a scarecrow;;1.0;mot regulier
Vous n'aviez pas acheté de cadeau avant d'aller à son anniversaire ?;You hadn't bought a present before you went to his birthday?;;1.0;mot regulier
la vendange;the grape harvest;;1.0;mot regulier
envoyer un sms;to text;;1.0;mot regulier
la robe du vin;the wine's colour;;1.0;mot regulier
Vous avez des plats végétariens ?;Do you have vegetarian meals?;;1.0;mot regulier
Se rappeler de [quelqu'un/quelque chose];To remember [someone/something];;1.0;mot regulier
il nous faut nous protéger,;we have to protect ourselves.;;1.0;mot regulier
la cheville;ankle;;1.0;mot regulier
une livre;a pound;;1.0;mot regulier
Vous avez aussi cette veste une taille en-dessous ?;Do you also have this jacket in a smaller size?;;1.0;mot regulier
l'encre;ink;;1.0;mot regulier
Tu peux lui faire confiance, il est honnête.;You can trust him, he is an honest person.;;1.0;mot regulier
lauréat;winner;;1.0;mot regulier
Il faut faire attention aux sangliers à la tombée du jour.;It is important to be on the alert for wild boar at twilight.;;1.0;mot regulier
faire un don;to make a donation;;1.0;mot regulier
la blessure;the injury;;1.0;mot regulier
la fève;the charm;;1.0;mot regulier
un raton-laveur;a racoon;;1.0;mot regulier
aller simple;one-way;;1.0;mot regulier
un manifestant;a protester (m);;1.0;mot regulier
décanter;to decant;;1.0;mot regulier
découper en dés;to dice;;1.0;mot regulier
Vous désirez encore quelque chose ?;Can I get you anything else?;;1.0;mot regulier
revigorer;reinvigorate;;1.0;mot regulier
une combinaison de ski;ski-suit;;1.0;mot regulier
Les touristes aiment flâner dans la vieille ville.;Tourists like to stroll through the Old Town.;;1.0;mot regulier
la marque;the brand;;1.0;mot regulier
une coquille;a shell;;1.0;mot regulier
la fève de cacao;cocoa bean;;1.0;mot regulier
une étiquette à bagages;a luggage tag;;1.0;mot regulier
passionnant;exciting;;1.0;mot regulier
la messagerie;the voicemail;;1.0;mot regulier
un cambriolage;a robbery;;1.0;mot regulier
la culotte;knickers;;1.0;mot regulier
une bénédiction;a blessing;;1.0;mot regulier
une cocarde;a rosette;;1.0;mot regulier
la berge;the bank;;1.0;mot regulier
balayer;to sweep;;1.0;mot regulier
la descente;the ski run;;1.0;mot regulier
être sur la même longueur d'onde;to be on the same wavelength;;1.0;mot regulier
des paillettes;glitter;;1.0;mot regulier
le conte;the fairy tale;;1.0;mot regulier
une ombre à paupières;eyeshadow;;1.0;mot regulier
C'est super d'être ici à Cologne ce soir !;It is great to be here in Cologne tonight!;;1.0;mot regulier
une louche;a ladle;;1.0;mot regulier
périphérique;peripheral;;1.0;mot regulier
une escalope;a cutlet;;1.0;mot regulier
l'ortie;the stinging nettle;;1.0;mot regulier
la cicatrice;the scar;;1.0;mot regulier
coquille;scallop;;1.0;mot regulier
l'Arménie;Armenia;;1.0;mot regulier
un bigoudi;(hair) roller;;1.0;mot regulier
Pardon, vous êtes Marion ?;Pardon (me), are you Marion?;;1.0;mot regulier
Voici le quartier dans lequel j'habite.;This is the neighbourhood in which I live.;;1.0;mot regulier
le goût;the taste;;1.0;mot regulier
amer;bitter;;1.0;mot regulier
nocif;harmful;;1.0;mot regulier
l'épine;the thorn;;1.0;mot regulier
la béquille;the stand;;1.0;mot regulier
trahir;to betray;;1.0;mot regulier
la barrique;the barrique;;1.0;mot regulier
un évier;a sink;;1.0;mot regulier
le point de vue;the point of view;;1.0;mot regulier
silhouette;silhouette;;1.0;mot regulier
le smoking;the dinner jacket;;1.0;mot regulier
l'emblème;the landmark;;1.0;mot regulier
se réconcilier;to make up;;1.0;mot regulier
la bruiteuse;the foley artist (fem.);;1.0;mot regulier
payer en espèces;to pay cash;;1.0;mot regulier
porter plainte;to report (a crime);;1.0;mot regulier
Chacun a des côtés positifs et négatifs.;Everybody has positive and negative sides.;;1.0;mot regulier
une prière;a prayer;;1.0;mot regulier
la grêle;hail;;1.0;mot regulier
Penser de [quelqu'un];To think about [someone] (i.e. to have an opinion on);;1.0;mot regulier
un goujon;gudgeon (fish);;1.0;mot regulier
le remonte-pente;the lift;;1.0;mot regulier
exonération;exoneration.exemption;;1.0;mot regulier
la bestiole;the bug;;1.0;mot regulier
frissonner;to shiver;;1.0;mot regulier
l'arabe;Arabic;;1.0;mot regulier
le meurtre;the murder;;1.0;mot regulier
Tu es tellement attentionné !;You are so considerate!;;1.0;mot regulier
Ce n'est pas ce que j'ai commandé.;That's not what I ordered.;;1.0;mot regulier
le végétarien;the vegetarian;;1.0;mot regulier
le sens unique;one way;;1.0;mot regulier
le distributeur de billets;the cashpoint;;1.0;mot regulier
Paul portait un maillot qu'il avait acheté la veille.;Paul was wearing a jersey that he had bought the previous day.;;1.0;mot regulier
le tabouret de bar;the bar stool;;1.0;mot regulier
Elle s'énerve facilement.;She gets annoyed easily.;;1.0;mot regulier
prevoir de;plan to;;1.0;mot regulier
la cuvée du patron;house wine;;1.0;mot regulier
le houx;holly;;1.0;mot regulier
un faisan;a pheasant;;1.0;mot regulier
Elle ne lui doit rien;She doesn't own him anything;;1.0;mot regulier
trente;thirty;;1.0;mot regulier
la campagne;the campaign;;1.0;mot regulier
végétalien;vegan;;1.0;mot regulier
Vous pourriez me recommander un camping près de la plage ?;Can you recommend a campsite near the beach?;;1.0;mot regulier
l'Épiphanie;Epiphany;;1.0;mot regulier
la crème hydratante;moisturiser;;1.0;mot regulier
la boîte de nuit;the club;;1.0;mot regulier
peler;to be freezing (fam.);;1.0;mot regulier
une hirondelle;swallow;;1.0;mot regulier
les courbatures;the aching muscles;;1.0;mot regulier
le bleu;the bruise;;1.0;mot regulier
Il prépare un dîner aux chandelles pour la Saint-Valentin.;He is preparing a candle-lit dinner for Valentine's day.;;1.0;mot regulier
une ouvrière;a worker (f);;1.0;mot regulier
Avez-vous un emplacement pour la caravane ?;Do you have a parking space for the caravan?;;1.0;mot regulier
un hélicoptère;a helicopter;;1.0;mot regulier
s'engager;to get involved;;1.0;mot regulier
la gelée de canneberge;cranberry sauce / jelly;;1.0;mot regulier
mortel;fatal;;1.0;mot regulier
aborder;to discuss;;1.0;mot regulier
Sommelier est son métier de rêve.;Being a sommelier is his dream job.;;1.0;mot regulier
le tailleur;the ladies' suit;;1.0;mot regulier
châtiment;punishment;;1.0;mot regulier
monter;to pitch;;1.0;mot regulier
l'ouïe;the hearing;;1.0;mot regulier
le chanteur;the singer (m);;1.0;mot regulier
la lisière de la forêt;the treeline;;1.0;mot regulier
demander [quelqu'un] en mariage;to propose to [someone];;1.0;mot regulier
Ils trieront les déchets. (trier);They will sort the rubbish.;;1.0;mot regulier
lasser;weary;;1.0;mot regulier
un acteur;an actor;;1.0;mot regulier
récurer;to scour;;1.0;mot regulier
une strophe;a stanza / strophe;;1.0;mot regulier
le capot;bonnet / [US: hood];;1.0;mot regulier
sécurisé;secure;;1.0;mot regulier
le perroquet;the parrot;;1.0;mot regulier
Pourriez-vous payer par chèque ?;Could you pay by cheque?;;1.0;mot regulier
blanche;white (feminine form);;1.0;mot regulier
une cloche;a bell;;1.0;mot regulier
le distributeur de boissons;the drinks machine;;1.0;mot regulier
un accident cardio-vasculaire / un AVC;a stroke;;1.0;mot regulier
un bouchon;a traffic jam;;1.0;mot regulier
une gigue;a jig;;1.0;mot regulier
Je ne veux plus manger de viande.;I don't want to eat meat anymore.;;1.0;mot regulier
fiançailles;engagement (about wedding);;1.0;mot regulier
J'aimerais tout simplement bien vivre.;I would just like to live well.;;1.0;mot regulier
le tampon;the stamp;;1.0;mot regulier
s'intéresser à …;to be interested in;;1.0;mot regulier
fêter;to celebrate;;1.0;mot regulier
une bouée;a rubber ring;;1.0;mot regulier
accéder;to access;;1.0;mot regulier
à plat;flat;;1.0;mot regulier
ramer;to row;;1.0;mot regulier
primordiale;essential;;1.0;mot regulier
mangeoire;manger;;1.0;mot regulier
quatre;four;;1.0;mot regulier
Jamais je n'irai vivre dans une ferme.;I'll never go to live on a farm.;;1.0;mot regulier
recharger;to charge;;1.0;mot regulier
le fondamentalisme;the fundamentalism;;1.0;mot regulier
le plongeur de balles de golf;the golf ball diver (masc.);;1.0;mot regulier
déprimé;depressed;;1.0;mot regulier
l'éditorial;the lead article;;1.0;mot regulier
la contraception;the contraception;;1.0;mot regulier
une urne;a ballot box;;1.0;mot regulier
le panorama urbain;the skyline;;1.0;mot regulier
le glaçage;icing/frosting;;1.0;mot regulier
le muguet;lily of the valley;;1.0;mot regulier
écossais;Scottish (masc);;1.0;mot regulier
froncer des sourcils;to frown;;1.0;mot regulier
un plombier;a plumber;;1.0;mot regulier
le masque capillaire;the hair mask;;1.0;mot regulier
lisser;to straighten;;1.0;mot regulier
réalisable;practical;;1.0;mot regulier
une comparaison;a simile;;1.0;mot regulier
Un instant s'il te plaît.;Just one moment.;;1.0;mot regulier
C'est le cimetière où sont enterrées beaucoup de célébrités.;Many famous people are buried in this cemetery.;;1.0;mot regulier
le pare-choc;bumper;;1.0;mot regulier
réciter;to recite;;1.0;mot regulier
un/une enfant;a child;;1.0;mot regulier
jeter un coup d'œil;to look around;;1.0;mot regulier
un orage;a thunderstorm;;1.0;mot regulier
Vous faites quelle taille ?;What size are you (lit. You make which size)?;;1.0;mot regulier
avoir des sueurs froides;to be in a cold sweat;;1.0;mot regulier
une gourmette;a chain bracelet;;1.0;mot regulier
allergique;allergic;;1.0;mot regulier
une chirurgienne;a surgeon (f);;1.0;mot regulier
la crise;the crisis;;1.0;mot regulier
un coquelicot;poppy;;1.0;mot regulier
avoir peur (de);to be afraid (of);;1.0;mot regulier
la serrurière;the locksmith (fem.);;1.0;mot regulier
un battement de cœur;a heartbeat;;1.0;mot regulier
le fauteuil à bascule;the rocking chair;;1.0;mot regulier
Tu n'es plus jalouse ?;You're not jealous (fem.) anymore?;;1.0;mot regulier
une œuvre d'art;a work of art;;1.0;mot regulier
valoir;to be worth;;1.0;mot regulier
le JT;TV news;;1.0;mot regulier
une revendication;a demand;;1.0;mot regulier
un artichaut;an artichoke;;1.0;mot regulier
par ailleur;moreover;;1.0;mot regulier
émeuter;riot(n.);;1.0;mot regulier
perdre le Nord;to get confused;;1.0;mot regulier
Elle a très bien chanté cet air.;She sang this aria beautifully.;;1.0;mot regulier
présumer;to assume;;1.0;mot regulier
Ressembler à [quelque chose];To look like [something];;1.0;mot regulier
lyophilisé;freeze-dried;;1.0;mot regulier
fixer la date;set the date;;1.0;mot regulier
Il est un fervent supporter du Real Madrid.;He is an enthusiastic supporter of Real Madrid.;;1.0;mot regulier
la joggeuse;the jogger;;1.0;mot regulier
souligner;to underscore;;1.0;mot regulier
la cantine;the canteen;;1.0;mot regulier
au chômage;unemployed;;1.0;mot regulier
faire enregistrer ses bagages;to check in;;1.0;mot regulier
J'ai la gueule de bois.;I have a hangover.;;1.0;mot regulier
avoir hâte;to look forward to;;1.0;mot regulier
effectuer;to perform (an action);;1.0;mot regulier
les frères et sœurs;siblings;;1.0;mot regulier
dépendre de [quelque chose];to depend on [something];;1.0;mot regulier
un castor;a beaver;;1.0;mot regulier
le grille-pain;the toaster;;1.0;mot regulier
Ce chien est plus paresseux que le mien.;This dog is lazier than mine.;;1.0;mot regulier
à manches longues;long-sleeved;;1.0;mot regulier
prendre le volant;to get behind the wheel;;1.0;mot regulier
un maillot une pièce;one-piece swimsuit;;1.0;mot regulier
une piste de ski;a ski slope;;1.0;mot regulier
partir à la retraite;to retire;;1.0;mot regulier
Se passer de [quelqu'un/quelque chose];To go without [someone/something];;1.0;mot regulier
la boîte à gants;glove compartment;;1.0;mot regulier
L'arrosoir est sur le balcon.;The watering can is on the balcony.;;1.0;mot regulier
un nid;a nest;;1.0;mot regulier
le bracelet;the bracelet;;1.0;mot regulier
le lampadaire;the street lamp;;1.0;mot regulier
l'école professionnelle;the vocational college;;1.0;mot regulier
le drap;the sheet;;1.0;mot regulier
sélectionner;to select;;1.0;mot regulier
trois;three;;1.0;mot regulier
verte;green (f);;1.0;mot regulier
faire exprès de [faire];To do [something] on purpose;;1.0;mot regulier
hurler;to yell;;1.0;mot regulier
non coupable;not guilty;;1.0;mot regulier
Plus jamais je ne pourrais vivre à la campagne.;I could never live in the country again.;;1.0;mot regulier
la blatte;the cockroach;;1.0;mot regulier
faire la une;to hit the headlines;;1.0;mot regulier
soigner;to cure;;1.0;mot regulier
sans lactose;lactose-free;;1.0;mot regulier
l'auberge de jeunesse;the youth hostel;;1.0;mot regulier
Parsemer le saumon d'aneth.;Sprinkle the salmon with dill.;;1.0;mot regulier
rester debout;to stand;;1.0;mot regulier
le bain moussant;bubble bath;;1.0;mot regulier
le poteau;the goal-post;;1.0;mot regulier
la demande de congés;the application for leave;;1.0;mot regulier
le descendant;the descendant;;1.0;mot regulier
perdre le fil;to lose track;;1.0;mot regulier
Tom est un type calme.;Tom is a quiet guy.;;1.0;mot regulier
une toupie;a dreidel / a spinning top;;1.0;mot regulier
rompre le jeûne;to break the fast;;1.0;mot regulier
fardeau;burden (noun.);;1.0;mot regulier
S'efforcer de [faire];To strive to [do];;1.0;mot regulier
Tu ne t'étais pas changé avant d'aller danser ? (changer);Hadn't you (masc.) changed before you went dancing?;;1.0;mot regulier
la barrière de corail;the coral reef;;1.0;mot regulier
porter malheur;to bring bad luck;;1.0;mot regulier
virer;to transfer;;1.0;mot regulier
avoir le mal de mer;to be seasick;;1.0;mot regulier
le Comité International Olympique (CIO);International Olympic Committee (IOC);;1.0;mot regulier
le jupon;the underskirt;;1.0;mot regulier
tirer les rois;to eat King Cake/Twelfth Night Cake;;1.0;mot regulier
une doudoune;parka;;1.0;mot regulier
À dix heures devant la boîte, d'accord ?;At ten outside the club, ok?;;1.0;mot regulier
Nous n'étions plus en France à l'époque.;We weren't in France at that time.;;1.0;mot regulier
la boulangerie;the bakery;;1.0;mot regulier
tomber en panne;to break down;;1.0;mot regulier
le mistral;mistral;;1.0;mot regulier
vivre d'amour et d'eau fraîche;to live on love alone;;1.0;mot regulier
Tu dois composter ton billet.;You have to validate your ticket.;;1.0;mot regulier
se gaver;to overeat;;1.0;mot regulier
vider;to gut;;1.0;mot regulier
manifester;to demonstrate;;1.0;mot regulier
aimable;friendly;;1.0;mot regulier
l'estuaire;the estuary;;1.0;mot regulier
à l'eau de rose;sentimental/romantic;;1.0;mot regulier
la laine;wool;;1.0;mot regulier
se chamailler;to quarrel;;1.0;mot regulier
un fait divers;a brief news story;;1.0;mot regulier
seize;sixteen;;1.0;mot regulier
Émilie et Antoine peuvent se voir.;Émilie and Antoine can see each other.;;1.0;mot regulier
confondre;to confuse;;1.0;mot regulier
la crampe;the cramp;;1.0;mot regulier
l'apparence;the appearance;;1.0;mot regulier
La chorégraphie est à la limite de l'acrobatie !;The choreography is verging on acrobatics!;;1.0;mot regulier
virer;to fire. to kick out;;1.0;mot regulier
Les centres de Beckham sont célèbres.;Beckham's crosses are famous.;;1.0;mot regulier
Comme je suis soulagé.;I'm so relieved.;;1.0;mot regulier
le côté obscur de la Force;the dark side of the Force;;1.0;mot regulier
rassembler;to round up;;1.0;mot regulier
Le producteur est venu à la cérémonie d'ouverture du festival.;The producer came to the festival's opening party.;;1.0;mot regulier
américain (m);American;;1.0;mot regulier
Il fait chaud et les coureurs transpirent déjà.;It is hot and the runners are already sweaty.;;1.0;mot regulier
le filet;the fillet;;1.0;mot regulier
un car;a coach;;1.0;mot regulier
la bretelle d'accès;the slip road;;1.0;mot regulier
les premiers secours;the first aid;;1.0;mot regulier
samedi;Saturday;;1.0;mot regulier
l'aide en cas de catastrophe;the disaster relief;;1.0;mot regulier
une fève;a fava bean;;1.0;mot regulier
L'air est tiède.;The air is mild.;;1.0;mot regulier
jardiner;to garden/to do some gardening;;1.0;mot regulier
décrochage;withdrawal. retreat;;1.0;mot regulier
la braise;the embers;;1.0;mot regulier
Personne ne veut vivre à la campagne !;No one wants to live in the country!;;1.0;mot regulier
une police;a font;;1.0;mot regulier
le sac à dos;the rucksack;;1.0;mot regulier
le maillot de corps;the vest;;1.0;mot regulier
défiler;to parade;;1.0;mot regulier
la galerie d'art;the art gallery;;1.0;mot regulier
Il a sorti un costume de pirate de son armoire.;He took out a pirate costume from his wardrobe.;;1.0;mot regulier
la caisse;the till;;1.0;mot regulier
les soldes;sales;;1.0;mot regulier
demeurer;to remain;;1.0;mot regulier
l'annonce immobilière;the real estate listing;;1.0;mot regulier
un rouleau à pâtisserie;a rolling pin;;1.0;mot regulier
se coucher avec les poules;to go to bed early;;1.0;mot regulier
une perche;freshwater bass;;1.0;mot regulier
l'Allemagne;Germany;;1.0;mot regulier
un collant;tights;;1.0;mot regulier
un coma éthylique;an alcohol-induced coma;;1.0;mot regulier
le mixeur;the blender;;1.0;mot regulier
se réorienter;to retrain;;1.0;mot regulier
Je n'ai que du jus d'orange.;I only have orange juice.;;1.0;mot regulier
Tu es déjà parti en Chine, Antoine ? (partir);Have you travelled to China before, Antoine?;;1.0;mot regulier
la grêle;the hail;;1.0;mot regulier
la côte;the coast;;1.0;mot regulier
hocher;to nod;;1.0;mot regulier
dix-sept;seventeen;;1.0;mot regulier
un ruisseau;a stream;;1.0;mot regulier
impatient;impatient;;1.0;mot regulier
venimeux;poisonous;;1.0;mot regulier
une alliance;a wedding ring;;1.0;mot regulier
avoir sommeil;to be sleepy;;1.0;mot regulier
s'escamper;to escape;;1.0;mot regulier
avoir un cœur d'artichaut;to fall in love easily;;1.0;mot regulier
Je viendrai volontiers.;I would love to come.;;1.0;mot regulier
le singe;the monkey;;1.0;mot regulier
